1635236500.732619
1635240934.843308
1635241834.52075
1640954525.201401,0.38,152
1640961359.529695,1.53,156
1640972241.418165,1.39,154
1640995657.58935,1.65,183
1641002086.655756,0.43,173
1641007265.990508,1.05,145
1641012261.465209,0.97,157
1641023234.350453,0.81,145
1641029280.026301,1.52,169
1641030162.705406,0.79,181
1641032144.542013,1.3,143
1641034923.888524,0.43,152
1641044748.37403,1.48,152
1641052086.715704,0.42,156
1641080102.000969,1.28,140
1641083299.468433,0.88,183
1641088287.396869,1.53,142
1641095470.395151,1.24,158
1641103499.28204,0.42,142
1641133450.641673,0.86,154
1641166827.030768,1.49,156
1641170096.802326,1.28,143
1641175280.884134,1.53,148
1641176319.111372,1.15,158
1641181672.720468,0.42,164
1641190229.052033,0.98,150
1641195527.998794,1.52,142
1641199632.363629,0.38,170
1641200639.023038,0.65,142
1641205467.236393,1.25,140
1641216112.207652,1.53,159
1641218817.836846,0.4,146
1641251566.290047,1.39,164
1641257498.020624,1.45,162
1641263222.035669,0.39,156
1641267635.551672,1.53,145
1641275214.31886,0.38,135
1641282328.766812,1.44,150
1641284717.663558,1.36,170
1641285695.809278,1.53,170
1641290521.710834,1.43,146
1641293520.862315,0.51,150
1641305620.584704,1.15,154
1641316247.742711,1.49,148
1641343369.699817,0.39,174
1641346469.612877,0.38,180
1641349284.896889,0.39,148
1641354129.97675,1.42,146
1641360997.605248,0.89,154
1641369790.095173,0.96,146
1641373381.067438,1.44,172
1641374424.954905,0.39,160
1641378010.537925,0.43,142
1641382829.859088,0.45,144
1641395187.592996,1.6,164
1641400012.885005,0.43,142
1641404743.02126,0.43,142
1641409621.07535,0.43,140
1641414544.756004,0.36,140
1641419575.252668,1.4,141
1641424612.542367,0.43,140
1641428082.983898,0.66,151
1641431772.421778,0.41,178
1641432519.159359,1.61,188
1641443673.502039,1.31,143
1641455400.333104,1.57,142
1641462657.596169,0.44,166
1641465310.61845,0.38,138
1641470429.323862,0.41,154
1641473901.799783,0.41,148
1641481304.730843,1.09,149
1641512354.94279,0.42,138
1641525754.753079,1.07,153
1641534233.167299,1.72,162
1641535711.063023,0.39,152
1641544963.439213,0.79,140
1641547875.129095,0.44,158
1641551895.950831,1.53,147
1641556582.69937,0.4,154
1641568338.902209,0.43,152
1641598317.218454,1.53,148
1641604918.318723,0.41,180
1641607786.490278,0.92,190
1641608552.458189,0.78,182
1641615193.866156,1.53,156
1641631836.321349,1.65,141
1641634212.642035,0.43,139
1641636684.012671,1.63,168
1641640437.830597,0.63,174
1641650420.50428,0.44,155
1641681986.235358,0.44,140
1641686169.706183,1.72,142
1641690945.746083,1.24,165
1641694480.823934,1.48,150
1641695523.283995,0.91,148
1641696159.687201,0.43,174
1641709672.532291,1.1,144
1641715395.983942,0.9,144
1641723485.826501,1.02,146
1641727905.917531,1.21,164
1641728799.383262,1.23,140
1641737264.797602,0.44,156
1641742414.31306,1.13,150
1641749573.107198,0.43,144
1641763976.310724,1.24,138
1641768806.149094,0.7,160
1641770765.341651,0.41,154
1641774150.038683,1.69,154
1641776639.271204,0.44,152
1641778821.301297,0.91,185
1641793460.035372,1.21,144
1641803674.345479,0.39,141
1641807720.589738,1.17,177
1641808808.425961,0.45,146
1641812273.338112,0.75,155
1641824052.368418,1.22,152
1641854660.275658,1.28,143
1641865623.651394,1.63,172
1641871263.100386,0.4,151
1641878246.567149,0.4,145
1641886274.052179,0.5,143
1641892118.874839,1.53,154
1641899022.518842,0.4,146
1641908663.514196,0.38,147
1641941280.396919,1.64,148
1641947558.514153,0.38,141
1641950432.362172,0.43,146
1641952810.787213,0.4,186
1641965585.346223,0.39,143
1641972802.792999,0.4,139
1641978247.835357,0.93,166
1641979228.606157,0.4,164
1641990698.834898,0.44,137
1641997853.096469,1.71,160
1642028548.516792,0.43,140
1642036799.696196,1.53,170
1642043431.282499,0.44,197
1642052917.691956,1.72,139
1642056773.17853,0.42,158
1642065822.120731,0.39,160
1642066845.344802,1.53,164
1642067801.813529,1.39,140
1642076121.371555,0.77,143
1642091336.987201,1.53,144
1642120034.850478,1.53,182
1642123968.063042,0.44,174
1642131130.47672,1.49,146
1642144478.039083,0.97,152
1642152242.839399,1.01,144
1642159006.500386,0.45,138
1642171871.938762,0.37,136
1642201478.051942,0.56,159
1642206732.775161,0.43,152
1642209424.941018,0.44,187
1642215441.779786,1.13,148
1642236050.317201,0.42,144
1642238221.354468,1.08,136
1642243504.223582,0.81,138
1642248021.566027,1.72,152
1642260753.930807,0.43,140
1642288011.686756,0.96,142
1642294185.766172,1.65,155
1642299123.453714,0.44,146
1642300019.838436,1.53,143
1642304153.810819,0.64,146
1642320209.690039,1.18,127
1642326868.685165,0.42,160
1642329970.929798,0.68,151
1642332083.465833,0.43,139
1642333481.612296,0.85,152
1642336765.283239,0.68,145
1642344595.698678,1.53,153
1642372253.491819,1.11,151
1642378983.3968,0.43,156
1642383314.317824,1.71,154
1642383950.549729,1.47,185
1642388025.568331,0.43,142
1642404799.332205,0.4,152
1642410278.984523,1.72,160
1642411137.443364,0.39,164
1642414929.830567,0.44,162
1642417936.533044,0.44,150
1642426438.490815,0.39,153
1642430978.162743,1.62,145
1642464688.468025,0.39,162
1642466929.481004,0.87,152
1642470203.218417,1.25,142
1642471161.164365,1.31,181
1642487442.14579,1.0,136
1642493995.022879,0.44,138
1642498870.094807,0.42,163
1642502135.426768,1.32,149
1642510446.02401,1.25,170
1642512194.317682,0.4,137
1642516149.674029,0.39,125
1642534045.958404,1.47,138
1642548469.815474,0.41,144
1642555922.259119,1.53,138
1642558846.856788,0.54,134
1642559704.785954,0.4,158
1642562173.415154,1.59,142
1642571639.776489,0.43,136
1642579671.075922,0.43,140
1642584611.296563,0.44,163
1642585783.116227,1.33,158
1642591672.306592,1.45,146
1642597389.461444,0.45,134
1642604009.062924,0.44,159
1642637073.939024,0.4,172
1642639502.525586,0.44,138
1642652581.486306,1.2,137
1642655053.252869,1.37,184
1642656575.432071,1.67,185
1642660199.742726,1.08,138
1642669438.942031,0.43,162
1642678513.920315,0.41,137
1642687950.57419,1.07,142
1642717284.534681,0.44,137
1642719998.056279,1.56,160
1642720681.514823,1.26,202
1642723160.178074,0.42,145
1642725373.794088,1.6,137
1642748205.629067,1.53,142
1642753970.815873,1.48,141
1642757526.845779,0.43,150
1642761451.929103,0.44,151
1642763195.931241,0.4,164
1642764048.645295,0.45,139
1642765510.391439,1.53,178
1642773602.084162,1.48,142
1642815642.420639,0.43,6568
1642839830.258639,0.4,154
1642846252.222027,1.66,168
1642847524.041921,1.61,139
1642852292.041655,1.3,144
1642860303.628906,0.56,150
1642865049.815274,0.44,136
1642897105.839445,0.39,142
1642903838.958933,1.38,134
1642905703.196175,0.39,148
1642907835.253572,0.75,158
1642917572.74693,0.4,138
1642928590.759963,0.42,140
1642931050.967881,0.79,179
1642932363.779939,0.61,164
1642936142.931689,0.41,144
1642939083.858202,0.38,162
1642945782.383374,0.44,152
1642988814.028968,0.4,156
1643001625.447139,1.63,142
1643026692.351159,0.41,148
1643038770.708159,1.53,148
1643066359.822733,0.43,154
1643067984.228457,0.43,175
1643072065.974121,0.43,154
1643072935.342303,0.42,195
1643078316.372455,1.08,162
1643090620.690364,1.55,142
1643099009.124189,0.4,140
1643102958.007256,0.4,162
1643104236.542276,1.33,148
1643106062.42103,0.4,173
